Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6, C7, C8, C9",0603,7,1u,
C4,0603,1,10u,
"D1, D2, D3, D4",D_SOD-523,4,1N4148WT,
D5,0603,1,LED,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02_Socket,
"R10, R14, R2, R6",0603,4,1k,
"R11, R12, R13, R15, R16, R7, R8",0603,7,10k,
R3,0603,1,5k,
"R4, R5",0603,2,5k1,
R9,0603,1,1M,
U1,SOT-23-5,1,MIC5504-3.3YM5,
U3,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,WS4518D,
U5,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
USB-C1,USB2.0_TYPE-C(A40-00119-A52-12),1,USB-C-16P-F(A40-00119-A52-12),
"s1, s2, s4, s6, s8",TS-1177-C-B-B,5,BUTTON_4PIN_TS_1177,
