Designator,Mid X,Mid Y,Rotation,Layer
C1,198.682,2.499,180.0,bottom
C2,193.843,5.293,270.0,bottom
C3,154.8,5.119,270.0,bottom
D1,5.0,19.999,0.0,top
D2,50.0,19.999,0.0,top
D3,95.0,19.999,0.0,top
D4,140.0,19.999,0.0,top
D5,185.0,19.999,0.0,top
R1,197.163,13.106,0.0,bottom
R2,168.543,15.599,270.0,bottom
R3,170.1,15.599,270.0,bottom
R4,167.0,15.599,270.0,bottom
R5,197.163,10.106,0.0,bottom
R6,156.45,5.019,90.0,bottom
R7,159.375,4.774,0.0,bottom
R8,171.675,15.599,270.0,bottom
U1,196.7585,5.105,180.0,bottom
U3,168.0,3.0,180.0,bottom
USB-C1,203.633,11.861,180.0,bottom
s1,158.27,8.409,180.0,bottom
s2,174.55,14.874,270.0,bottom
